url,runWarnings,notiz
http://www.franziskus-berlin.de, The page may not be loading as expected because your test URL (http://www.franziskus-berlin.de/) was redirected to https://www.franziskus-berlin.de/de. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.juedisches-krankenhaus.de, The page may not be loading as expected because your test URL (http://www.juedisches-krankenhaus.de/) was redirected to http://www.juedisches-krankenhaus.de/home.html. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.meoclinic.de, The page may not be loading as expected because your test URL (http://www.meoclinic.de/) was redirected to https://www.meoclinic.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.alexianer-berlin-hedwigkliniken.de, The page may not be loading as expected because your test URL (http://www.alexianer-berlin-hedwigkliniken.de/) was redirected to https://www.alexianer-berlin-hedwigkliniken.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.medeco.de, The page may not be loading as expected because your test URL (http://www.medeco.de/) was redirected to https://www.medeco.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.vivantes-ida-wolff.de, DNS servers could not resolve the provided domain., "http://"-Prefix manuell hinzugefügt
http://www.vivantes-komfortklinik.de, The page may not be loading as expected because your test URL (http://www.vivantes-komfortklinik.de/) was redirected to https://komfortklinik.vivantes.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.vivantes.de, The page may not be loading as expected because your test URL (http://www.vivantes.de/) was redirected to https://www.vivantes.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.medeco.de, The page may not be loading as expected because your test URL (http://www.medeco.de/) was redirected to https://www.medeco.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.pgdiakonie.de, The page provided is not HTML (served as MIME type )., "http://"-Prefix manuell hinzugefügt
http://www.helios-kliniken.de, The page may not be loading as expected because your test URL (http://www.helios-kliniken.de/) was redirected to https://www.helios-gesundheit.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.helios-privatk, DNS servers could not resolve the provided domain., "http://"-Prefix manuell hinzugefügt
http://www.berlin.immanuel.de, The page may not be loading as expected because your test URL (http://www.berlin.immanuel.de/) was redirected to https://berlin.immanuel.de/home/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.klinik-garbatyplatz.net, The page may not be loading as expected because your test URL (http://www.klinik-garbatyplatz.net/) was redirected to https://www.klinik-garbatyplatz.net/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.caritas-klinik-pankow.de, The page may not be loading as expected because your test URL (http://www.caritas-klinik-pankow.de/) was redirected to https://www.caritas-klinik-pankow.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.park-klinik.com, The page may not be loading as expected because your test URL (http://www.park-klinik.com/) was redirected to https://www.parkkliniken-weissensee.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.alexianer-berlin-weissensee.de, The page may not be loading as expected because your test URL (http://www.alexianer-berlin-weissensee.de/) was redirected to https://www.alexianer-berlin-weissensee.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.vivantes.de, The page may not be loading as expected because your test URL (http://www.vivantes.de/) was redirected to https://www.vivantes.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.dominikus-berlin.de, The page may not be loading as expected because your test URL (http://www.dominikus-berlin.de/) was redirected to https://www.dominikus-krankenhaus-berlin.org/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://Www.medicalpark.de, The page may not be loading as expected because your test URL (http://www.medicalpark.de/) was redirected to https://www.medicalpark.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.vitanas.de, The page may not be loading as expected because your test URL (http://www.vitanas.de/) was redirected to https://www.vitanas.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.vivantes-komfortklinik.de, The page may not be loading as expected because your test URL (http://www.vivantes-komfortklinik.de/) was redirected to https://komfortklinik.vivantes.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.vivantes.de, The page may not be loading as expected because your test URL (http://www.vivantes.de/) was redirected to https://www.vivantes.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.evangelisches-johannesstift.de, INVALID URL, "http://"-Prefix manuell hinzugefügt
http://www.pgdiakonie.de, The page provided is not HTML (served as MIME type )., "http://"-Prefix manuell hinzugefügt
http://www.havelhoehe.de, The page may not be loading as expected because your test URL (http://www.havelhoehe.de/) was redirected to https://www.havelhoehe.de/startseite.html. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.havelklinik.de, The page may not be loading as expected because your test URL (http://www.havelklinik.de/) was redirected to https://www.havelklinik.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.median-kliniken.de, The page may not be loading as expected because your test URL (http://www.median-kliniken.de/) was redirected to https://www.median-kliniken.de/de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.privatklinik-spandau.de, , "http://"-Prefix manuell hinzugefügt
http://www.vivantes-komfortklinik.de, The page may not be loading as expected because your test URL (http://www.vivantes-komfortklinik.de/) was redirected to https://komfortklinik.vivantes.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.vivantes.de, The page may not be loading as expected because your test URL (http://www.vivantes.de/) was redirected to https://www.vivantes.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.medeco.de, The page may not be loading as expected because your test URL (http://www.medeco.de/) was redirected to https://www.medeco.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.casa-dentalis.de, The page may not be loading as expected because your test URL (http://www.casa-dentalis.de/) was redirected to https://www.casa-dentalis.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.charite.de, The page may not be loading as expected because your test URL (http://www.charite.de/) was redirected to https://www.charite.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.pgdiakonie.de, The page provided is not HTML (served as MIME type )., "http://"-Prefix manuell hinzugefügt
http://www.helios-kliniken.de, The page may not be loading as expected because your test URL (http://www.helios-kliniken.de/) was redirected to https://www.helios-gesundheit.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.helios-privatkliniken.de, The page may not be loading as expected because your test URL (http://www.helios-privatkliniken.de/) was redirected to https://www.helios-gesundheit.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.berlin.immanuel.de, The page may not be loading as expected because your test URL (http://www.berlin.immanuel.de/) was redirected to https://berlin.immanuel.de/home/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.mic-berlin.de, The page may not be loading as expected because your test URL (http://www.mic-berlin.de/) was redirected to https://mic-berlin.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.klinik-nikolasse.de, DNS servers could not resolve the provided domain., "http://"-Prefix manuell hinzugefügt
http://www.bethelnet.de, The page may not be loading as expected because your test URL (http://www.bethelnet.de/) was redirected to https://www.bethelnet.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.krankenhaus-waldfriede.de, The page may not be loading as expected because your test URL (http://www.krankenhaus-waldfriede.de/) was redirected to https://www.krankenhaus-waldfriede.de/en/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.marienkrankenhaus-berlin.de, The page may not be loading as expected because your test URL (http://www.marienkrankenhaus-berlin.de/) was redirected to https://www.marienkrankenhaus-berlin.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.tww-berlin.de, , "http://"-Prefix manuell hinzugefügt
http://www.westklinik-dahlem.de, The page may not be loading as expected because your test URL (http://www.westklinik-dahlem.de/) was redirected to https://www.westklinik-dahlem.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.medeco.de, The page may not be loading as expected because your test URL (http://www.medeco.de/) was redirected to https://www.medeco.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.klinik-am-wittenbergplatz.de, The page may not be loading as expected because your test URL (http://www.klinik-am-wittenbergplatz.de/) was redirected to https://www.angioclinic.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.sjk.de, The page may not be loading as expected because your test URL (http://www.sjk.de/) was redirected to https://www.sjk.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.ulsteinhausklinik.de, DNS servers could not resolve the provided domain., "http://"-Prefix manuell hinzugefügt
http://www.vivantes-komfortklinik.de, The page may not be loading as expected because your test URL (http://www.vivantes-komfortklinik.de/) was redirected to https://komfortklinik.vivantes.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.vivantes.de, The page may not be loading as expected because your test URL (http://www.vivantes.de/) was redirected to https://www.vivantes.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.vivantes.de, The page may not be loading as expected because your test URL (http://www.vivantes.de/) was redirected to https://www.vivantes.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
http://www.medeco.de, The page may not be loading as expected because your test URL (http://www.medeco.de/) was redirected to https://www.medeco.de/. Try testing the second URL directly., "http://"-Prefix manuell hinzugefügt
